Country,NUTS1_ID,NUTS2 code+name,NUTS2_ID,NUTS2_name,Fund,Year,Programming_Period,EU_Payment_annual,Modelled_annual_expenditure,Standard_Deviation_of_annual_expenditure,Standard_Error_of_modelled_annual_expenditure
BE,BE1,BE10 Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,BE10,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,EAFRD,1993,1989-1993,0,211,24,0
BE,BE1,BE10 Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,BE10,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,EAFRD,1994,1989-1993,589,508,15,0
BE,BE1,BE10 Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,BE10,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,EAFRD,1995,1989-1993,339,256,29,0
BE,BE1,BE10 Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,BE10,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,EAFRD,1996,1989-1993,0,139,38,1
BE,BE1,BE10 Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,BE10,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,EAFRD,1997,1989-1993,521,334,21,0
BE,BE1,BE10 Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,BE10,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,ERDF,1990,1989-1993,0,3253,4051,128
BE,BE1,BE10 Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,BE10,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,ERDF,1991,1989-1993,2716,31593,3906,123
BE,BE1,BE10 Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,BE10,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,ERDF,1992,1989-1993,52902,23647,3391,107
BE,BE1,BE10 Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,BE10,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,ERDF,1993,1989-1993,0,9622,2076,65
BE,BE1,BE10 Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,BE10,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,ERDF,1994,1989-1993,13552,18910,3154,99
BE,BE1,BE10 Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,BE10,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,ERDF,1995,1989-1993,28505,13264,1619,51
BE,BE1,BE10 Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,BE10,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,ERDF,1996,1989-1993,0,4101,1769,55
BE,BE1,BE10 Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,BE10,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,ERDF,1997,1989-1993,0,10670,3015,95
BE,BE1,BE10 Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,BE10,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,ERDF,1998,1989-1993,0,11977,1422,44
BE,BE1,BE10 Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,BE10,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,ERDF,2002,1989-1993,29364,0,0,0
BE,BE2,BE21 Prov. Antwerpen,BE21,Prov. Antwerpen,EAFRD,1993,1989-1993,0,7452,855,27
BE,BE2,BE21 Prov. Antwerpen,BE21,Prov. Antwerpen,EAFRD,1994,1989-1993,20796,17950,554,17
BE,BE2,BE21 Prov. Antwerpen,BE21,Prov. Antwerpen,EAFRD,1995,1989-1993,11978,9050,1032,32
BE,BE2,BE21 Prov. Antwerpen,BE21,Prov. Antwerpen,EAFRD,1996,1989-1993,0,4918,1342,42
BE,BE2,BE21 Prov. Antwerpen,BE21,Prov. Antwerpen,EAFRD,1997,1989-1993,18406,11809,757,23
BE,BE2,BE21 Prov. Antwerpen,BE21,Prov. Antwerpen,ERDF,1989,1989-1993,0,753634,92309,2919
BE,BE2,BE21 Prov. Antwerpen,BE21,Prov. Antwerpen,ERDF,1990,1989-1993,2220500,1590907,77116,2438
BE,BE2,BE21 Prov. Antwerpen,BE21,Prov. Antwerpen,ERDF,1991,1989-1993,365477,3608025,397167,12559
BE,BE2,BE21 Prov. Antwerpen,BE21,Prov. Antwerpen,ERDF,1992,1989-1993,9919278,6815178,380209,12023
BE,BE2,BE21 Prov. Antwerpen,BE21,Prov. Antwerpen,ERDF,1993,1989-1993,773400,3392391,320790,10144
BE,BE2,BE21 Prov. Antwerpen,BE21,Prov. Antwerpen,ERDF,1994,1989-1993,8489963,5864555,326320,10319
BE,BE2,BE21 Prov. Antwerpen,BE21,Prov. Antwerpen,ERDF,1995,1989-1993,641388,597074,123529,3906
BE,BE2,BE21 Prov. Antwerpen,BE21,Prov. Antwerpen,ERDF,1996,1989-1993,0,629762,151603,4794
BE,BE2,BE21 Prov. Antwerpen,BE21,Prov. Antwerpen,ERDF,1997,1989-1993,2378227,1671753,90101,2849
BE,BE2,BE21 Prov. Antwerpen,BE21,Prov. Antwerpen,ERDF,1998,1989-1993,349499,262856,16541,523
BE,BE2,BE21 Prov. Antwerpen,BE21,Prov. Antwerpen,ERDF,2002,1989-1993,48405,0,0,0
BE,BE2,BE22 Prov. Limburg,BE22,Prov. Limburg,EAFRD,1993,1989-1993,0,4780,548,17
BE,BE2,BE22 Prov. Limburg,BE22,Prov. Limburg,EAFRD,1994,1989-1993,13340,11514,355,11
BE,BE2,BE22 Prov. Limburg,BE22,Prov. Limburg,EAFRD,1995,1989-1993,7684,5805,662,20
BE,BE2,BE22 Prov. Limburg,BE22,Prov. Limburg,EAFRD,1996,1989-1993,0,3155,861,27
BE,BE2,BE22 Prov. Limburg,BE22,Prov. Limburg,EAFRD,1997,1989-1993,11807,7576,485,15
BE,BE2,BE22 Prov. Limburg,BE22,Prov. Limburg,ERDF,1989,1989-1993,0,1341401,136705,4323
BE,BE2,BE22 Prov. Limburg,BE22,Prov. Limburg,ERDF,1990,1989-1993,3355000,4502026,116896,3696
BE,BE2,BE22 Prov. Limburg,BE22,Prov. Limburg,ERDF,1991,1989-1993,6223845,6521048,30288,957
BE,BE2,BE22 Prov. Limburg,BE22,Prov. Limburg,ERDF,1992,1989-1993,6967183,6699896,27239,861
BE,BE2,BE22 Prov. Limburg,BE22,Prov. Limburg,ERDF,1993,1989-1993,6298668,8697280,888111,28084
BE,BE2,BE22 Prov. Limburg,BE22,Prov. Limburg,ERDF,1994,1989-1993,11072122,11877239,767628,24274
BE,BE2,BE22 Prov. Limburg,BE22,Prov. Limburg,ERDF,1995,1989-1993,14007866,8722705,568389,17974
BE,BE2,BE22 Prov. Limburg,BE22,Prov. Limburg,ERDF,1996,1989-1993,0,985270,268481,8490
BE,BE2,BE22 Prov. Limburg,BE22,Prov. Limburg,ERDF,1997,1989-1993,3500015,2151941,138151,4368
BE,BE2,BE22 Prov. Limburg,BE22,Prov. Limburg,ERDF,1998,1989-1993,162805,111245,7552,238
BE,BE2,BE22 Prov. Limburg,BE22,Prov. Limburg,ERDF,2002,1989-1993,22548,0,0,0
